UniqueIDMoisture,UniqueIDMercury,ConcatenateTest,Program,ParentProject,Project,StationCode,StationName,LocationCode,CommonName,FinalID,TissueName,TissuePrep,MatrixDisplay,MoistureAnalyte,MoistureResultType,MoistureResult,MoistureUnit,MercuryAnalyte,MercuryResultType,MercuryResult,MercuryUnit,SampleYear,Region,TargetLatitude,TargetLongitude,TLAvgLength_mm,DataQuality,DataQualityIndicator,N_in_Avg,ND_in_Avg,DisplayText
201WLKD19-2019-Pacific Staghorn Sculpin,201WLKD19-2019-Pacific Staghorn Sculpin,T,Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,RWB2 Tomales Bay Mercury TMDL Monitoring FY1920,201WLKD19,Walker Creek Delta Roar Pickle A,NA,Pacific Staghorn Sculpin,Leptocottus armatus,whole organism,"Skin on, Scales On",tissue,"Moisture, Total",Average of Individuals,77.99,%,"Mercury, Total",Average of 350 mm Length-Adjusted,1.813638,ug/g ww,2019,2,38.21507,-122.92558,125,Some review needed,"BatchVerification:VAC,VMD; QACode:H",1,0,
20246PPTH-2009-Black Perch,20246PPTH-2009-Black Perch,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20246PPTH,Pillar Point Harbor,NA,Black Perch,Embiotoca jacksoni,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.395,%,"Mercury, Total",Average of Individuals,0.458667,ug/g ww,2009,2,37.501376,-122.4783349,209.67,Passed,,6,0,
20246PPTH-2020-California Halibut,20246PPTH-2020-California Halibut,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20246PPTH,Pillar Point Harbor,NA,California Halibut,Paralichthys californicus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,74.46,%,"Mercury, Total",Average of Individuals,0.114,ug/g ww,2020,2,37.501376,-122.4783349,632,Passed,,2,0,
20247HMBC-2009-Barred Surfperch,20247HMBC-2009-Barred Surfperch,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20247HMBC,Half Moon Bay Coast,NA,Barred Surfperch,Amphistichus argenteus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.446,%,"Mercury, Total",Average of Individuals,0.0605,ug/g ww,2009,2,37.32042,-122.53064,259.4,Passed,,10,0,
20247HMBC-2009-Blue Rockfish,20247HMBC-2009-Blue Rockfish,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20247HMBC,Half Moon Bay Coast,NA,Blue Rockfish,Sebastes mystinus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,76.691667,%,"Mercury, Total",Average of Individuals,0.073,ug/g ww,2009,2,37.32042,-122.53064,303.17,Passed,,6,0,
20247HMBC-2010-Blue Rockfish,20247HMBC-2010-Blue Rockfish,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2010,20247HMBC,Half Moon Bay Coast,NA,Blue Rockfish,Sebastes mystinus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,77.2,%,"Mercury, Total",Average of Individuals,0.064444,ug/g ww,2010,2,37.32042,-122.53064,282.25,Passed,,4,0,
20247HMBC-2020-Brown Rockfish,20247HMBC-2020-Brown Rockfish,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20247HMBC,Half Moon Bay Coast,NA,Brown Rockfish,Sebastes auriculatus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,77.948,%,"Mercury, Total",Average of Individuals,0.067429,ug/g ww,2020,2,37.32042,-122.53064,318.5,Passed,,10,0,
20247HMBC-2020-Yellowtail Rockfish,20247HMBC-2020-Yellowtail Rockfish,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20247HMBC,Half Moon Bay Coast,NA,Yellowtail Rockfish,Sebastes flavidus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,76.065,%,"Mercury, Total",Average of Individuals,0.1986,ug/g ww,2020,2,37.32042,-122.53064,297.5,Passed,,2,0,
20248PACC-2009-Blue Rockfish,20248PACC-2009-Blue Rockfish,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20248PACC,Pacifica Coast,NA,Blue Rockfish,Sebastes mystinus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,76.3,%,"Mercury, Total",Average of Individuals,0.074333,ug/g ww,2009,2,37.60257954,-122.5360977,367,Passed,,3,0,
20249SSFC-2009-Barred Surfperch,20249SSFC-2009-Barred Surfperch,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20249SSFC,San Francisco Coast,NA,Barred Surfperch,Amphistichus argenteus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.752,%,"Mercury, Total",Average of Individuals,0.07,ug/g ww,2009,2,37.7364655,-122.5181055,198.6,Passed,,5,0,
202LKMRCD-2014-Largemouth Bass,202LKMRCD-2014-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Low Contam. Study 2014,202LKMRCD,Lake Merced,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,79.08,%,"Mercury, Total",Average of Individuals,0.2209,ug/g ww,2014,2,37.72728,-122.497184,337,Passed,,11,0,
202LKMRCD-2014-Rainbow Trout,202LKMRCD-2014-Rainbow Trout,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Low Contam. Study 2014,202LKMRCD,Lake Merced,NA,Rainbow Trout,Oncorhynchus mykiss,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,77.2,%,"Mercury, Total",Average of Individuals,0.0565,ug/g ww,2014,2,37.72728,-122.497184,298.9,Passed,,10,0,
203TEMLAK-2016-Largemouth Bass,203TEMLAK-2016-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Monitoring of Lk_Res 2016,203TEMLAK,Lake Temescal,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.833636,%,"Mercury, Total",Average of Individuals,0.083333,ug/g ww,2016,2,37.846406,-122.230386,318.09,Passed,,11,0,
203TEMLAK-2013-Largemouth Bass,203TEMLAK-2013-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,RWB2 EBRPD Fish Bioaccumulation Study 2013,203TEMLAK,Lake Temescal,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,79.578182,%,"Mercury, Total",Average of Individuals,0.1362,ug/g ww,2013,2,37.846406,-122.230386,351,Passed,,11,0,
204AMO065-2005-Rainbow Trout,204AMO065-2005-Rainbow Trout,T,Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,RWB2 Lakes Sportfish Contamination Study 2004 2005,204AMO065,Shadow Cliffs Reservoir,NA,Rainbow Trout,Oncorhynchus mykiss,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,77.065,%,"Mercury, Total",Average of 350 mm Length-Adjusted,0.389108,ug/g ww,2005,2,37.66808,-121.83265,430,Some review needed,QACode:VH,2,0,
204PDV169-2008-Largemouth Bass,204PDV169-2008-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,204PDV169,Lake del Valle,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,78.7,%,"Mercury, Total",Average of Individuals,0.0231,ug/g ww,2008,2,37.58954,-121.71446,325.82,Passed,,11,0,
204PDV169-2021-Largemouth Bass,204PDV169-2021-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,204PDV169,Lake del Valle,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.971429,%,"Mercury, Total",Average of 350 mm Length-Adjusted,0.301394,ug/g ww,2021,2,37.58954,-121.71446,350.93,Passed,,14,0,
204PSC113-2008-Largemouth Bass,204PSC113-2008-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,204PSC113,Shadow Cliffs Reservoir_BOG,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,77.365455,%,"Mercury, Total",Average of 350 mm Length-Adjusted,0.159092,ug/g ww,2008,2,37.66963,-121.83581,339.18,Passed,,11,0,
204PSC113-2021-Largemouth Bass,204PSC113-2021-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,204PSC113,Shadow Cliffs Reservoir_BOG,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,79.099375,%,"Mercury, Total",Average of Individuals,0.0045,ug/g ww,2021,2,37.66963,-121.83581,326.94,Passed,,16,0,
204TC0114-2007-Largemouth Bass,204TC0114-2007-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,204TC0114,Lower Crystal Springs Reserv,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,78.727273,%,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.539166,ug/g ww,2007,2,37.53133,-122.3713,380.27,Passed,,11,0,
204TC0114-2021-Largemouth Bass,204TC0114-2021-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,204TC0114,Lower Crystal Springs Reserv,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.475714,%,"Mercury, Total",Average of 350 mm Length-Adjusted,0.595912,ug/g ww,2021,2,37.53133,-122.3713,339.57,Passed,,14,0,
204TC0122-2007-Largemouth Bass,204TC0122-2007-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,204TC0122,Calaveras Reservoir,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,79.761818,%,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.379901,ug/g ww,2007,2,37.47051,-121.82042,401.18,Passed,,11,0,
204TC0122-2019-Largemouth Bass,204TC0122-2019-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,204TC0122,Calaveras Reservoir,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,78.334286,%,"Mercury, Total",Average of 350 mm Length-Adjusted,0.42843,ug/g ww,2019,2,37.47051,-121.82042,357.21,Passed,,14,0,
204TC0122-2007-Largemouth Bass,204TC0122-2007-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,204TC0122,Calaveras Reservoir,L2,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L2,79.401818,%,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.75531,ug/g ww,2007,2,37.47051,-121.82042,405.27,Passed,,11,0,
204TC0122-2019-Largemouth Bass,204TC0122-2019-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,204TC0122,Calaveras Reservoir,L2,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L2,76.567857,%,"Mercury, Total",Average of 350 mm Length-Adjusted,0.468369,ug/g ww,2019,2,37.47051,-121.82042,365.64,Passed,,14,0,
204TC0514-2007-Largemouth Bass,204TC0514-2007-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,204TC0514,Lake Chabot (San Leandro)_BOG,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,77.939091,%,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.762519,ug/g ww,2007,2,37.72062,-122.10636,332.64,Passed,,11,0,
204TC0514-2019-Largemouth Bass,204TC0514-2019-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,204TC0514,Lake Chabot (San Leandro)_BOG,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.544286,%,"Mercury, Total",Average of 350 mm Length-Adjusted L1,1.018057,ug/g ww,2019,2,37.72062,-122.10636,338.07,Passed,,14,0,
204TL0138-2007-Largemouth Bass,204TL0138-2007-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,204TL0138,Upper San Leandro Reservoir,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,78.979091,%,"Mercury, Total",Average of 350 mm Length-Adjusted L2,0.918871,ug/g ww,2007,2,37.77606,-122.11748,388.91,Passed,,11,0,
204TL0138-2017-Largemouth Bass,204TL0138-2017-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2017,204TL0138,Upper San Leandro Reservoir,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,79.424545,%,"Mercury, Total",Average of Individuals >=305 mm L2,0.396182,ug/g ww,2017,2,37.77606,-122.11748,328.91,Passed,,11,0,
205ALMDNR-2019-Largemouth Bass,205ALMDNR-2019-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205ALMDNR,Almaden Reservoir,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,77.81,%,"Mercury, Total",Average of Individuals >=305 mm L1,0.542429,ug/g ww,2019,2,37.16245,-121.83106,355.57,Passed,,14,0,
205ALMDNR-2019-Redear Sunfish,205ALMDNR-2019-Redear Sunfish,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205ALMDNR,Almaden Reservoir,NA,Redear Sunfish,Lepomis microlophus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,81.53,%,"Mercury, Total",Average of 350 mm Length-Adjusted,0.934413,ug/g ww,2019,2,37.16245,-121.83106,123.25,Passed,,4,0,
205COY500-2004-Channel Catfish,205COY500-2004-Channel Catfish,T,Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,RWB2 Lakes Sportfish Contamination Study 2004 2005,205COY500,Anderson Reservoir,NA,Channel Catfish,Ictalurus punctatus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,79.93,%,"Mercury, Total",Average of Individuals >=305 mm L1,1.144,ug/g ww,2004,2,37.16265,-121.61243,360,Some review needed,QACode:VH,1,0,
205COY500-2005-Channel Catfish,205COY500-2005-Channel Catfish,T,Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,RWB2 Lakes Sportfish Contamination Study 2004 2005,205COY500,Anderson Reservoir,NA,Channel Catfish,Ictalurus punctatus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,75.72,%,"Mercury, Total",Average of 350 mm Length-Adjusted,0.843724,ug/g ww,2005,2,37.16265,-121.61243,630.5,Some review needed,QACode:VH,2,0,
205CPP002-2011-Largemouth Bass,205CPP002-2011-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,RWB2 Lake Vasona Bioaccumulation Study 2011,205CPP002,Camden Percolation Pond across from Page Desilting Basin #2,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.285,%,"Mercury, Total",Average of 350 mm Length-Adjusted,2.711049,ug/g ww,2011,2,37.26474,-121.95236,451.88,Passed,,8,0,
205CPP003-2011-Largemouth Bass,205CPP003-2011-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,RWB2 Lake Vasona Bioaccumulation Study 2011,205CPP003,Camden Percolation Pond below Los Gatos Creek Park #3,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,77.62,%,"Mercury, Total",Average of Individuals,1.11425,ug/g ww,2011,2,37.26696,-121.95138,344.44,Passed,,9,0,
205LSG150-2005-White Catfish,205LSG150-2005-White Catfish,T,Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,RWB2 Lakes Sportfish Contamination Study 2004 2005,205LSG150,Lexington Reservoir,NA,White Catfish,Ameiurus catus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,77.04,%,"Mercury, Total",Average of Individuals,1.35,ug/g ww,2005,2,37.17349,-121.9856,267,Some review needed,QACode:VH,1,0,
205PAD016-2007-Largemouth Bass,205PAD016-2007-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,205PAD016,Anderson Lake_BOG,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,78.451818,%,"Mercury, Total",Average of Individuals,0.8535,ug/g ww,2007,2,37.16265,-121.61243,337.18,Passed,,11,0,
